Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
From Console to UI: A Deep Dive into Cross-Platform Development with MAUI,"<p>Explore the steps involved in building cross-platform applications using the .NET MAUI framework. First, review the key features and benefits of MAUI and steps for setting up a new project. Then, find out how to create a service layer to manage data and business logic, ensuring a clean separation from the UI, and how to configure the database path for SQLite databases. Learn how to leverage the Model-View-ViewModel (MVVM) pattern, creating views for listing and editing notes, including adding necessary validations to improve data integrity. </p>
<br/>
<p>The course also covers reading, updating, and deleting notes through the UI, and using CRUD operations within a MAUI app. Become adept at setting up MAUI projects, implementing MVVM, handling data operations, and working with MAUI controls for a comprehensive application development experience. Join instructor Jesse Freeman who helps you gain the confidence and skills needed to build and deploy powerful cross-platform applications with .NET.</p>",Course,2024-12-09 14:28 UTC,N/A,false,N/A,
Django Essential Training (2021),"Django is a robust and powerful framework with a lot of moving parts. Although starting a new project can be quite easy, there is a lot to uncover. This course teaches fundamentals, such as what a framework is, what an HTTP request is, and how Django replies to HTTP requests. Software developer and podcaster Leticia Portella walks you through each step of building a working system that can create, edit, and list books per user with an authentication system. Topics include getting started, creating users and data, ORMs, creating a dynamic template, Django class-based files and static views, and so much more!",Course,2022-10-24 12:46 UTC,N/A,false,N/A,
Introduction to Quantum Computing,"Classical computing, which gave us the current digital age, is about to be displaced by a more exciting, powerful, and radically different form of computing. This technology—known as quantum computing—operates under completely different scientific principles and has the potential to provide a massive technological leap forward that will enable breakthroughs in artificial intelligence, medicine, chemistry, space capabilities, mixed reality, and so much more. Those left behind will find it hard to catch up. Learn all about it here, as well as how to apply quantum computing to your own (and your organization's) outlook for the future. In plain language, instructor Jonathan Reichental lays out what quantum computing is and details its applications, opportunities, and risks.",Course,2024-04-02 08:16 UTC,N/A,false,N/A,
First Look: Python 3.9,"Python, like any modern language, is always evolving. In this course, instructor Claire Burn dives into Python 3.9, highlighting the new features, improvements, and deprecations packed into this release. Learn about the significant Python Enhancement Proposals (PEPs) included in Python 3.9, as well as how to distinguish which modules are new (and why they are notable). Discover which modules have been deprecated and why this was necessary. Plus, get tips for overcoming common challenges while porting from Python 2 to Python 3.9, or Python 3.x to Python 3.9.",Course,2021-09-18 10:00 UTC,N/A,false,N/A,
Quantum Cryptography and the Future of Cybersecurity,"The frequency and severity of hacking and other attacks on our information systems are increasing. Despite remarkable progress in cybersecurity innovation, too many vulnerabilities continue to exist, and the threats are increasingly sophisticated. Quantum cryptography may offer some optimism in the long term. By leveraging the fundamentals of quantum mechanics, this set of emerging technologies allows information to be protected in novel new ways. Consequently, it's poised to shake up the world of information security. In this course, Jonathan Reichental lays out what quantum cryptography is, as well as the journey ahead to operationally realize quantum-based encrypted communications.",Course,2024-08-03 10:43 UTC,N/A,false,N/A,
Learning C#,"The C# language got its start on Windows, but today you can find it almost everywhere.  Whether it’s running on the cloud, to desktops with MacOS and Linux, to mobile operating systems like Android and iOS, C# has grown into a mature, powerful language for almost any programming purpose.
In this course, Joe Marini dives into the fundamentals of C#, starting with a basic overview of language constructs like program flow and data types. He then gets into more advance topics such as functions, object-oriented programming techniques, and string processing. After this course, you’ll have a better understanding of C#, and how its combination of power, simplicity, and expressiveness make it an extremely versatile programming language that can be used for almost any scenario.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2022-01-22 17:09 UTC,N/A,false,N/A,
Learning LinkedIn (2021),"By harnessing the power of the LinkedIn platform, you can tap into an expansive network of professionals, companies, and groups in your industry and beyond. In this course, discover how to make the most of your LinkedIn account. Follow Oliver Schinkten as he explains how to build a stellar LinkedIn profile, and shares how to expand your network, look for new career opportunities, join groups, share updates, and contribute your own thought leadership. He goes over how to use Creator Mode and Cover Story, as well as how to add your preferred pronouns to your LinkedIn profile. Plus, Oliver explores privacy settings and account types. Upon wrapping up this course, you'll have the tools you need to grow your career by leveraging LinkedIn.",Course,2025-01-14 21:45 UTC,N/A,false,N/A,
"HTML, CSS, and Generative AI: Speed Up Your Process","Long gone are the days of learning code from books. Even electronic and online resources are becoming less popular. Now, artificial intelligence is a go-to tool for writing basic code, and while it has many advantages, it’s not without its own challenges. For one, while AI can help with the basics of coding, it still needs a knowledgeable user. In this course, Joe Casbona shows you how AI tools can help speed up your entire process. With the rapid development of generative AI tools, it’s important for web developers to understand how these tools work, and how they can be leveraged for prototyping, layout creation, testing, and more.",Course,2024-03-09 11:58 UTC,N/A,false,N/A,
Dealing with Microaggression as an Employee,"In this course, Toni Lowe, a sought-after speaker and senior HR leader specializing in diversity, inclusion, equity, and belonging, teaches you how to identify and address everyday, subtle, intentional and unintentional actions or behaviors that perpetuate bias toward marginalized groups in the workplace. Toni defines microaggression and identifies the three distinct types of microaggressions: microassaults, microinsults, and microinvalidations. While the word ""micro"" means ""small,"" each instance of microaggression has a big impact on the employee experience, physical health, and psychological well-being. Toni provides actionable steps you can take to create safe spaces in the workplace for coping and developing a support system. She discusses how to effectively address past behaviors directly with the offender or through a third party, then walks you through how to deal with microaggressions in real time. Toni concludes with her three-step framework for dealing with microaggression.",Course,2024-02-09 01:28 UTC,N/A,false,N/A,
Learning Jira (Data Center Edition),"Jira is for task tracking, request tracking, and project management. As organizations continue to adopt digital technology, more and more teams are leveraging Jira to track work and help teams meet goals. Jira is already the industry standard for software development teams and increasingly, other teams, like marketing, legal, IT, and finance are adopting it as well. By learning Jira you’ll be able to easily manage your own daily tasks and help your organization plan their strategic initiatives. In this course, instructor Rachel Wright teaches you about navigating Jira, working with projects and issues, and creating filters, dashboards, and boards. Join Rachel to learn how to create and edit issues, estimate time and effort, create custom views, search for and find issues, and adjust preferences so Jira works best for you.",Course,2024-09-15 19:49 UTC,N/A,false,N/A,
